polymer,PSMILES,Exp_Tg(K),source,SMILES,tg_range,number of points,reliability,stdev,dp_2,nconf20_2,rotatable_bonds,num_rings,num_aromatic_rings,num_non_aromatic_rings,hbond_acceptors,hbond_donors,n_sc,len_sc,min_length_sc,max_length_sc,mean_length_sc,n_bb,len_bb,min_length_bb,max_length_bb,mean_length_bb,fingerprint,cluster_label,Source
,*Oc1ccc(P(=O)(c2ccccc2)c2ccc(Oc3ccc(-c4ccc(*)cc4)cc3)cc2)cc1,507.15,GREA,,507.15-507.15,1,black,,Cc1ccc(-c2ccc(Oc3ccc(P(=O)(c4ccccc4)c4ccc(Oc5ccc(-c6ccc(Oc7ccc(P(=O)(c8ccccc8)c8ccc(OC)cc8)cc7)cc6)cc5)cc4)cc3)cc2)cc1,328.0,15,10,10,0,6,0,1,[7],7,7,7.0,1,[30],30,30,30.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d396d0>,1,cluster_1
,*Nc1ccc(-c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)cc1,613.15,GREA,,613.15-613.15,1,black,,CC(=O)c1ccc(C(=O)Nc2ccc(-c3ccc(NC(=O)c4ccc(C(=O)Nc5ccc(-c6ccc(NC)cc6)cc5)cc4)cc3)cc2)cc1,8.0,10,6,6,0,5,4,0,,0,0,0.0,1,[26],26,26,26.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d04ac0>,1,cluster_1
,*Oc1ccc(NC(=O)/C=C/c2ccc(/C=C/C(=O)Nc3ccc(*)cc3)cc2)cc1,478.15,GREA,,478.15-478.15,1,black,,Cc1ccc(NC(=O)/C=C/c2ccc(/C=C/C(=O)Nc3ccc(Oc4ccc(NC(=O)/C=C/c5ccc(/C=C/C(=O)Nc6ccc(OC)cc6)cc5)cc4)cc3)cc2)cc1,163.0,15,6,6,0,6,4,0,,0,0,0.0,1,[31],31,31,31.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d34970>,1,cluster_1
,*c1ccc(-c2ccc(-c3cc(-c4ccc(Oc5ccc(-c6ccccc6)cc5)cc4)c4cc(-c5ccc6nc(*)cc(-c7ccc(Oc8ccc(-c9ccccc9)cc8)cc7)c6c5)ccc4n3)cc2)cc1,637.15,GREA,,637.15-637.15,1,black,,Cc1cc(-c2ccc(Oc3ccc(-c4ccccc4)cc3)cc2)c2cc(-c3ccc4nc(-c5ccc(-c6ccc(-c7cc(-c8ccc(Oc9ccc(-c%10ccccc%10)cc9)cc8)c8cc(-c9ccc%10nc(-c%11ccc(-c%12ccc(C)cc%12)cc%11)cc(-c%11ccc(Oc%12ccc(-c%13ccccc%13)cc%12)cc%11)c%10c9)ccc8n7)cc6)cc5)cc(-c5ccc(Oc6ccc(-c7ccccc7)cc6)cc5)c4c3)ccc2n1,1.0,23,24,24,0,8,0,2,"[20, 20]",20,20,20.0,1,[34],34,34,34.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d48580>,1,cluster_1
,*c1ccc(Oc2ccc(C(c3ccc(Oc4ccc(-c5ncc(*)o5)cc4C(F)(F)F)cc3)(C(F)(F)F)C(F)(F)F)cc2)c(C(F)(F)F)c1,478.15,GREA,,478.15-478.15,1,black,,Cc1cnc(-c2ccc(Oc3ccc(C(c4ccc(Oc5ccc(-c6cnc(-c7ccc(Oc8ccc(C(c9ccc(Oc%10ccc(C)cc%10C(F)(F)F)cc9)(C(F)(F)F)C(F)(F)F)cc8)c(C(F)(F)F)c7)o6)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c2)o1,373.0,15,10,10,0,8,0,3,"[9, 5, 5]",5,9,6.333333333333333,1,[34],34,34,34.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d5a4a0>,1,cluster_1
,*c1cccc(Oc2ccc(P(=O)(c3ccccc3)c3ccccc3)c(Oc3cccc(N4C(=O)c5ccc(Oc6ccc(-c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)c3)c2)c1,500.15,GREA,,500.15-500.15,1,black,,CN1C(=O)c2ccc(Oc3ccc(-c4ccc(Oc5ccc6c(c5)C(=O)N(c5cccc(Oc7cc(Oc8cccc(N9C(=O)c%10ccc(Oc%11ccc(-c%12ccc(Oc%13ccc%14c(c%13)C(=O)N(c%13cccc(Oc%15cc(Oc%16cccc(C)c%16)ccc%15P(=O)(c%15ccccc%15)c%15ccccc%15)c%13)C%14=O)cc%12)cc%11)cc%10C9=O)c8)ccc7P(=O)(c7ccccc7)c7ccccc7)c5)C6=O)cc4)cc3)cc2C1=O,1.0,27,22,18,4,18,0,1,[15],15,15,15.0,1,[58],58,58,58.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575cecba0>,0,cluster_0
,*Oc1ccc(C(c2ccc(OC(*)=O)cc2)C2C3CCC(C3)C2c2ccccc2)cc1,469.15,GREA,,469.15-469.15,1,black,,CC(=O)Oc1ccc(C(c2ccc(OC(=O)Oc3ccc(C(c4ccc(OC)cc4)C4C5CCC(C5)C4c4ccccc4)cc3)cc2)C2C3CCC(C3)C2c2ccccc2)cc1,312.0,12,10,6,4,6,0,1,[14],14,14,14.0,1,[19],19,19,19.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d2d3c0>,1,cluster_1
,*Oc1cccc(Oc2ccc(NC(=O)c3cc(NC(=O)c4ccc(OC(C)=O)cc4)cc(C(=O)Nc4ccc(*)cc4)c3)cc2)c1,503.15,GREA,,503.15-503.15,1,black,,CC(=O)Oc1ccc(C(=O)Nc2cc(C(=O)Nc3ccc(C)cc3)cc(C(=O)Nc3ccc(Oc4cccc(Oc5ccc(NC(=O)c6cc(NC(=O)c7ccc(OC(C)=O)cc7)cc(C(=O)Nc7ccc(Oc8cccc(OC)c8)cc7)c6)cc5)c4)cc3)c2)cc1,459.0,21,10,10,0,14,6,1,[14],14,14,14.0,1,[34],34,34,34.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d3f190>,1,cluster_1
,*Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc(C(C)(C)C)c2)cc1,528.65,GREA,,528.65-528.65,1,black,,Cc1ccc(C(c2ccc(Oc3ccc(NC(=O)c4cc(C(=O)Nc5ccc(Oc6ccc(C(c7ccc(Oc8ccc(NC(=O)c9cc(C(=O)Nc%10ccc(OC)cc%10)cc(C(C)(C)C)c9)cc8)cc7)(C(F)(F)F)C(F)(F)F)cc6)cc5)cc(C(C)(C)C)c4)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,439.0,19,10,10,0,8,4,2,"[9, 5]",5,9,7.0,1,[41],41,41,41.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d354a0>,1,cluster_1
,*c1ccc(Oc2ccc(-c3cc(-c4ccc(Oc5ccc(-c6cc(*)nc7ccccc67)cc5)cc4)c4ccccc4n3)cc2)cc1,573.15,GREA,,573.15-573.15,1,black,,Cc1cc(-c2ccc(Oc3ccc(-c4cc(-c5ccc(Oc6ccc(-c7cc(-c8ccc(Oc9ccc(-c%10cc(-c%11ccc(Oc%12ccc(C)cc%12)cc%11)nc%11ccccc%10%11)cc9)cc8)c8ccccc8n7)cc6)cc5)nc5ccccc45)cc3)cc2)c2ccccc2n1,353.0,15,16,16,0,8,0,2,"[6, 6]",6,6,6.0,1,[40],40,40,40.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x146575d55270>,1,cluster_1
